from_stop_id,to_stop_id,weight_seconds,type
E.1032701,1.327,60,PW
E.1032801,1.328,60,PW
E.1033011,1.330,60,PW
E.1033101,1.331,60,PW
E.1033202,1.332,60,PW
E.1033301,1.333,60,PW
E.1033402,1.334,60,PW
E.1033503,1.335,60,PW
E.1033601,1.336,60,PW
E.1033701,1.337,60,PW
E.1033801,1.338,60,PW
E.1033811,1.338,60,PW
E.1041301,1.413,60,PW
E.1041402,1.414,60,PW
E.1041501,1.415,60,PW
E.1041601,1.416,60,PW
E.1041711,1.417,60,PW
E.1041801,1.418,60,PW
E.1041901,1.419,60,PW
E.1042011,1.420,60,PW
E.1042201,1.422,60,PW
E.1042301,1.423,60,PW
E.1042311,1.423,60,PW
